"","date","sum"
"1","2016-01-01",266
"2","2016-03-01",294
"3","2016-07-01",161
"4","2016-09-01",280
"5","2017-01-01",256
"6","2017-03-01",373
"7","2017-07-01",160
"8","2017-09-01",267
"9","2018-01-01",276
"10","2018-03-01",409
"11","2018-07-01",138
"12","2018-09-01",273
"13","2019-01-01",265
"14","2019-03-01",266
"15","2019-07-01",124
"16","2019-09-01",335
"17","2020-01-01",234
"18","2020-03-01",246
"19","2020-07-01",152
"20","2020-09-01",188
"21","2021-01-01",142
"22","2021-03-01",231
