"","State.Name","date","keyword","hits","ratio"
"116","Florida","2012-05-01","Cyberbullying",31,1
"117","Florida","2012-06-01","Cyberbullying",33,1
"118","Florida","2012-07-01","Cyberbullying",43,1
"119","Florida","2012-08-01","Cyberbullying",29,1
"120","Florida","2012-09-01","Cyberbullying",42,1
"121","Florida","2012-10-01","Cyberbullying",55,1
"122","Florida","2012-11-01","Cyberbullying",75,1
"123","Florida","2012-12-01","Cyberbullying",30,1
"124","Florida","2013-01-01","Cyberbullying",33,1
"125","Florida","2013-02-01","Cyberbullying",36,1
"126","Florida","2013-03-01","Cyberbullying",49,1
"127","Florida","2013-04-01","Cyberbullying",50,1
"128","Florida","2013-05-01","Cyberbullying",50,1
"129","Florida","2013-06-01","Cyberbullying",28,1
"130","Florida","2013-07-01","Cyberbullying",22,1
"131","Florida","2013-08-01","Cyberbullying",32,1
"132","Florida","2013-09-01","Cyberbullying",68,1
"133","Florida","2013-10-01","Cyberbullying",85,1
"134","Florida","2013-11-01","Cyberbullying",65,1
"135","Florida","2013-12-01","Cyberbullying",30,1
"136","Florida","2014-01-01","Cyberbullying",20,1
"137","Florida","2014-02-01","Cyberbullying",42,1
"138","Florida","2014-03-01","Cyberbullying",40,1
"139","Florida","2014-04-01","Cyberbullying",46,1
"140","Florida","2014-05-01","Cyberbullying",40,1
"141","Florida","2014-06-01","Cyberbullying",30,1
"142","Florida","2014-07-01","Cyberbullying",9,1
"143","Florida","2014-08-01","Cyberbullying",26,1
"144","Florida","2014-09-01","Cyberbullying",52,1
"145","Florida","2014-10-01","Cyberbullying",65,1
"146","Florida","2014-11-01","Cyberbullying",68,1
"147","Florida","2014-12-01","Cyberbullying",34,1
"148","Florida","2015-01-01","Cyberbullying",61,1
"149","Florida","2015-02-01","Cyberbullying",71,1
"150","Florida","2015-03-01","Cyberbullying",59,1
"151","Florida","2015-04-01","Cyberbullying",62,1
"152","Florida","2015-05-01","Cyberbullying",47,1
"153","Florida","2015-06-01","Cyberbullying",31,1
"154","Florida","2015-07-01","Cyberbullying",22,1
"155","Florida","2015-08-01","Cyberbullying",22,1
"156","Florida","2015-09-01","Cyberbullying",55,1
"157","Florida","2015-10-01","Cyberbullying",86,1
"158","Florida","2015-11-01","Cyberbullying",66,1
"159","Florida","2015-12-01","Cyberbullying",24,1
"160","Florida","2016-01-01","Cyberbullying",32,1
"161","Florida","2016-02-01","Cyberbullying",42,1
"162","Florida","2016-03-01","Cyberbullying",33,1
"163","Florida","2016-04-01","Cyberbullying",52,1
"164","Florida","2016-05-01","Cyberbullying",42,1
"165","Florida","2016-06-01","Cyberbullying",31,1
"166","Florida","2016-07-01","Cyberbullying",28,1
"167","Florida","2016-08-01","Cyberbullying",23,1
"168","Florida","2016-09-01","Cyberbullying",37,1
"169","Florida","2016-10-01","Cyberbullying",50,1
"170","Florida","2016-11-01","Cyberbullying",28,1
"171","Florida","2016-12-01","Cyberbullying",45,1
"172","Florida","2017-01-01","Cyberbullying",26,1
"173","Florida","2017-02-01","Cyberbullying",39,1
"174","Florida","2017-03-01","Cyberbullying",40,1
