"","date","sum"
"1","2016-01-01",203
"2","2016-03-01",347
"3","2016-07-01",43
"4","2016-09-01",280
"5","2017-01-01",211
"6","2017-03-01",199
"7","2017-07-01",100
"8","2017-09-01",213
"9","2018-01-01",277
"10","2018-03-01",364
"11","2018-07-01",57
"12","2018-09-01",120
"13","2019-01-01",214
"14","2019-03-01",151
"15","2019-07-01",58
"16","2019-09-01",267
"17","2020-01-01",175
"18","2020-03-01",147
"19","2020-07-01",130
"20","2020-09-01",160
"21","2021-01-01",104
"22","2021-03-01",115
