"","date","sum"
"1","2016-01-01",307
"2","2016-03-01",440
"3","2016-07-01",191
"4","2016-09-01",388
"5","2017-01-01",309
"6","2017-03-01",329
"7","2017-07-01",152
"8","2017-09-01",341
"9","2018-01-01",284
"10","2018-03-01",350
"11","2018-07-01",207
"12","2018-09-01",289
"13","2019-01-01",310
"14","2019-03-01",320
"15","2019-07-01",191
"16","2019-09-01",358
"17","2020-01-01",276
"18","2020-03-01",195
"19","2020-07-01",158
"20","2020-09-01",236
"21","2021-01-01",147
"22","2021-03-01",188
