"","date","sum"
"1","2016-01-01",297
"2","2016-03-01",481
"3","2016-07-01",175
"4","2016-09-01",422
"5","2017-01-01",363
"6","2017-03-01",443
"7","2017-07-01",156
"8","2017-09-01",350
"9","2018-01-01",350
"10","2018-03-01",405
"11","2018-07-01",125
"12","2018-09-01",324
"13","2019-01-01",289
"14","2019-03-01",334
"15","2019-07-01",114
"16","2019-09-01",288
"17","2020-01-01",244
"18","2020-03-01",210
"19","2020-07-01",116
"20","2020-09-01",245
"21","2021-01-01",129
"22","2021-03-01",180
